brand,model,year,variant_name,trim,segment,body_type,doors,seats,fuel_type,engine_type,cubic_capacity_cc,cylinders,aspiration,cylinder_config,power_kw,power_hp,torque_nm,transmission_type,gears,drive_type,length_mm,width_mm,height_mm,wheelbase_mm,curb_weight_kg,top_speed_kmh,acceleration_0_100_s,fuel_consumption_combined,fuel_consumption_city,fuel_consumption_highway,co2_emissions_gkm,price_eur,features,is_ev,is_hybrid,is_phev,is_supercar,is_truck,safety_rating_euroncap
Alfa Romeo,Giulia,2020,2020 Alfa Romeo Giulia 2.2 JTD 190hp Sprint specs,2.2 JTD 190hp Sprint,Sedan,"4-doors, sedan",4,5,diesel,Inline 4-cylinder turbocharged diesel,2143,4,turbocharged,Inline,140,190,450,automatic,8,rear,4643,1860,1436,2820,1440,230,7.1,4.7,6.0,4.1,126,50670.00,"Crash Test Result: *****; ABS; Brake Force Distribution; Brake Assist; Emergency Braking Assistance; Blind Spot Assist; Stability Control; Traction Control; Driver's Airbag; Passenger Airbag; Side Airbags: yes(front); Head / Curtain Airbags: yes(front & rear); Driver's Knee Airbag; Hill Assist; Lane Assist; Blind Spot Assistant; Fatigue Sensor; Tire Pressure Sensor; High Beam Assistant; Traffic Sign Recognition; Collision Warning System; Central Door Locking; Keyless Entry/start: yes(start); Start Button; Control Circuit: € 295; Electric Windows: yes(front & rear); Power Steering; Cruise Control: yes(dynamisch); Air Conditioning: yes(automatically); Left/right Temperature Control; Parking Sensors: yes(front & rear); Reverse Camera; Electric Parking Brake; Start / Stop System; Height Adjustment Seat: yes(best. & pass.); Electric Adjustment Seat: € 895; Leather Covered Steering Wheel; Adjustable Steering Wheel: yes(height & amp; depth); Rear Headrests; Folding Rear Seats: yes(in parts); Center Armrest: yes(front & rear); Automatically Dimming Interior Mirror; Reading Lamp(s): yes(front & rear); Illuminated Makeup Mirror; Adjustable Dashboard Lighting; Tachometer; Day Counter; Cooling Water Temperature Gauge; Outside Temperature Gauge; Board Computer; Audio System; Digital Radio (DAB); Steering Wheel Controls For Audio; Audio Input: yes(aux & usb); Navigation System: yes(with color display); Bluetooth; Interval Wiper (s): yes(with rain sensor); Alloy Wheels; Panoramic Roof: € 1.695; Metallic Paint: € 995; Painted Bumpers; Tinted Glass; Rear Privacy Glass: € 395; Electric Mirrors: yes(and heated); Folding Exterior Mirrors; Automatically Dimming Exterior Mirrors; Front Fog Lights; Automatically Switching On Lighting; Xenon Headlights; LED Rear Lighting; Daytime Running Lights; Headlamp Washers; Burglar Alarm: € 495; Service: 20.000 km / 1 year; General Warranty: 5 year, unlimited; Body Warranty: 8 year; New Price 2020: € 53.400; 4 Years Depreciation: € 589; Motor Vehicle Tax: € 120; Insurance: € 94; Fuel Costs: € 100; Maintenance: € 62; Total Costs: € 966; Total Costs Per Kilometer: 77,2 ct/km; New Price Tax: € 50.670; New Price Roadworthy: € 51.750; Net Price: € 32.794; BPM (fixed): € 0",False,False,False,False,False,
Audi,e-tron Sportback,2020,2020 Audi E-tron Sportback 55 Quattro Edition specs,55 Quattro Edition,SUV,"5-doors, suv/crossover",5,5,electric,electric motor,,,,,300,408,664,automatic,,front+rear,4901,1935,1618,2928,2455,200,5.7,,,,,72350.00,"Crash Test Result: *****; ABS; Brake Force Distribution; Brake Assist; Emergency Braking Assistance; Stability Control; Traction Control; Limited Slip Differential; Driver's Airbag; Passenger Airbag; Side Airbags: yes(front); Head / Curtain Airbags: yes(front & rear); Hill Assist; Lane Assist; Tire Pressure Sensor; City ??safety System; Night Vision With Person Recognition: € 2.595; Precrash System; Traffic Sign Recognition: € 241; Collision Warning System; Central Door Locking; Keyless Entry/start: yes(start); Start Button; Control Circuit; Electric Windows: yes(front & rear); Power Steering; Cruise Control; Air Conditioning: yes(automatically); Left/right Temperature Control; Parking Sensors: yes(front & rear); Reverse Camera: € 567; Parking Machine: € 421; Electric Parking Brake; Start / Stop System; Height Adjustment Seat: yes(best. & pass.); Heated Seats: € 459; Ventilated Seats: € 966; Sports Seats: € 766; Leather Covered Steering Wheel; Adjustable Steering Wheel: yes(height & amp; depth); Leather Upholstery: € 1.268; Rear Headrests; Folding Rear Seats: yes(in parts); Center Armrest: yes(front & rear); Automatically Dimming Interior Mirror; Reading Lamp(s): yes(front & rear); Illuminated Makeup Mirror; Adjustable Dashboard Lighting; Tachometer; Day Counter; Cooling Water Temperature Gauge; Outside Temperature Gauge; Board Computer; Audio System; Digital Radio (DAB); Steering Wheel Controls For Audio; Audio Input: yes(aux & usb); Navigation System: yes(with color display); Bluetooth; Interval Wiper (s): yes(with rain sensor); Alloy Wheels; Panoramic Roof: € 1.798; Roof Rails: € 483; Metallic Paint: € 1.400; Painted Bumpers; Tinted Glass; Rear Privacy Glass: € 543; Electric Mirrors: yes(and heated); Direction Indicator In Exterior Mirrors; Front Fog Lights; Automatically Switching On Lighting; Led Headlights; LED Rear Lighting; Daytime Running Lights; Burglar Alarm; Service: 30.000 km / 1 year; General Warranty: 2 year, unlimited; Body Warranty: 12 year; New Price 2020: € 72.350; 4 Years Depreciation: € 653; Motor Vehicle Tax: € 0; Insurance: € 141; Fuel Costs: € 68; Maintenance: € 67; Total Costs: € 929; Total Costs Per Kilometer: 74,4 ct/km; New Price Tax: € 72.350; New Price Roadworthy: € 73.900; Net Price: € 59.793; BPM (fixed): € 0",True,False,False,False,False,
Audi,e-tron Sportback,2020,2020 Audi E-tron Sportback 50 Quattro Edition specs,50 Quattro Edition,SUV,"5-doors, suv/crossover",5,5,electric,electric motor,,,,,230,313,540,automatic,,front+rear,4901,1935,1618,2928,2375,190,6.8,,,,,63550.00,"Crash Test Result: *****; ABS; Brake Force Distribution; Brake Assist; Emergency Braking Assistance; Stability Control; Traction Control; Limited Slip Differential; Driver's Airbag; Passenger Airbag; Side Airbags: yes(front); Head / Curtain Airbags: yes(front & rear); Hill Assist; Lane Assist; Tire Pressure Sensor; City ??safety System; Night Vision With Person Recognition: € 2.595; Precrash System; Traffic Sign Recognition: € 241; Collision Warning System; Central Door Locking; Keyless Entry/start: yes(start); Start Button; Control Circuit; Electric Windows: yes(front & rear); Power Steering; Cruise Control; Air Conditioning: yes(automatically); Left/right Temperature Control; Parking Sensors: yes(front & rear); Reverse Camera: € 567; Parking Machine: € 421; Electric Parking Brake; Start / Stop System; Height Adjustment Seat: yes(best. & pass.); Heated Seats: € 459; Ventilated Seats: € 966; Sports Seats: € 766; Leather Covered Steering Wheel; Adjustable Steering Wheel: yes(height & amp; depth); Leather Upholstery: € 1.268; Rear Headrests; Folding Rear Seats: yes(in parts); Center Armrest: yes(front & rear); Automatically Dimming Interior Mirror; Reading Lamp(s): yes(front & rear); Illuminated Makeup Mirror; Adjustable Dashboard Lighting; Tachometer; Day Counter; Cooling Water Temperature Gauge; Outside Temperature Gauge; Board Computer; Audio System; Digital Radio (DAB); Steering Wheel Controls For Audio; Audio Input: yes(aux & usb); Navigation System: yes(with color display); Bluetooth; Interval Wiper (s): yes(with rain sensor); Alloy Wheels; Panoramic Roof: € 1.798; Roof Rails: € 483; Metallic Paint: € 1.400; Painted Bumpers; Tinted Glass; Rear Privacy Glass: € 543; Electric Mirrors: yes(and heated); Direction Indicator In Exterior Mirrors; Front Fog Lights; Automatically Switching On Lighting; Led Headlights; LED Rear Lighting; Daytime Running Lights; Burglar Alarm; Service: 30.000 km / 1 year; General Warranty: 2 year, unlimited; Body Warranty: 12 year; New Price 2020: € 63.550; 4 Years Depreciation: € 566; Motor Vehicle Tax: € 0; Insurance: € 127; Fuel Costs: € 71; Maintenance: € 67; Total Costs: € 830; Total Costs Per Kilometer: 66,4 ct/km; New Price Tax: € 63.550; New Price Roadworthy: € 65.100; Net Price: € 52.521; BPM (fixed): € 0",True,False,False,False,False,
BMW,5 series,2020,2020 BMW 530d specs,530d,Sedan,"4-doors, sedan",4,5,diesel,Inline 6-cylinder turbocharged diesel,2993,6,turbocharged,Inline,210,286,650,automatic,8,rear,4963,1868,1479,2975,1735,250,5.6,4.5,5.8,3.7,118,73969.00,"Crash Test Result: *****; ABS; Brake Force Distribution; Brake Assist; Stability Control; Traction Control; Driver's Airbag; Passenger Airbag; Side Airbags: yes(front); Head / Curtain Airbags: yes(front & rear); Hill Assist; Tire Pressure Sensor; City ??safety System; Precrash System: € 374; High Beam Assistant: € 171; Collision Warning System; Central Door Locking; Keyless Entry/start: yes(start); Start Button; Electric Windows: yes(front & rear); Power Steering; Cruise Control; Air Conditioning: yes(automatically); Left/right Temperature Control; Parking Sensors: yes(front & rear); Electric Parking Brake; Start / Stop System; Height Adjustment Seat: yes(best. & pass.); Lumbar Support Seat: € 288; Electric Adjustment Seat: yes(with memory); Heated Seats: € 427; Ventilated Seats: € 908; Sports Seats: € 695; Leather Covered Steering Wheel; Adjustable Steering Wheel: yes(height & amp; depth); Heated Steering Wheel: € 321; Leather Upholstery: € 2.295; Rear Headrests; Folding Rear Seats: yes(in parts); Center Armrest: yes(front & rear); Automatically Dimming Interior Mirror; Reading Lamp(s): yes(front & rear); Illuminated Makeup Mirror; Adjustable Dashboard Lighting; Tachometer; Day Counter; Cooling Water Temperature Gauge; Outside Temperature Gauge; Board Computer; Audio System; Digital Radio (DAB); Steering Wheel Controls For Audio; Audio Input: yes(aux & usb); Navigation System: yes(with color display); Bluetooth; Interval Wiper (s): yes(with rain sensor); Alloy Wheels; Sliding / Tilting Roof: € 1.335; Metallic Paint: € 1.295; Painted Bumpers; Tinted Glass; Rear Privacy Glass: € 480; Electric Mirrors: yes(and heated); Folding Exterior Mirrors; Automatically Dimming Exterior Mirrors; Direction Indicator In Exterior Mirrors; Front Fog Lights; Automatically Switching On Lighting; Led Headlights; Burglar Alarm; Service: variabel / 2 year; General Warranty: 3 year, unlimited; Body Warranty: 12 year; New Price 2020: € 73.969; 4 Years Depreciation: € 806; Motor Vehicle Tax: € 154; Insurance: € 132; Fuel Costs: € 100; Maintenance: € 65; Total Costs: € 1.257; Total Costs Per Kilometer: 100,5 ct/km; New Price Tax: € 73.969; New Price Roadworthy: € 75.331; Net Price: € 53.581; BPM (fixed): € 0",False,False,False,False,False,
BMW,5 series,2020,2020 BMW 530d XDrive specs,530d XDrive,Sedan,"4-doors, sedan",4,5,diesel,Inline 6-cylinder turbocharged diesel,2993,6,turbocharged,Inline,210,286,650,automatic,8,front+rear,4963,1868,1479,2975,1795,250,5.4,4.8,6.1,4.0,125,78616.00,"Crash Test Result: *****; ABS; Brake Force Distribution; Brake Assist; Stability Control; Traction Control; Driver's Airbag; Passenger Airbag; Side Airbags: yes(front); Head / Curtain Airbags: yes(front & rear); Hill Assist; Tire Pressure Sensor; City ??safety System; Precrash System: € 374; High Beam Assistant: € 171; Collision Warning System; Central Door Locking; Keyless Entry/start: yes(start); Start Button; Electric Windows: yes(front & rear); Power Steering; Cruise Control; Air Conditioning: yes(automatically); Left/right Temperature Control; Parking Sensors: yes(front & rear); Electric Parking Brake; Start / Stop System; Height Adjustment Seat: yes(best. & pass.); Lumbar Support Seat: € 288; Electric Adjustment Seat: yes(with memory); Heated Seats: € 427; Ventilated Seats: € 908; Sports Seats: € 695; Leather Covered Steering Wheel; Adjustable Steering Wheel: yes(height & amp; depth); Heated Steering Wheel: € 321; Leather Upholstery: € 2.295; Rear Headrests; Folding Rear Seats: yes(in parts); Center Armrest: yes(front & rear); Automatically Dimming Interior Mirror; Reading Lamp(s): yes(front & rear); Illuminated Makeup Mirror; Adjustable Dashboard Lighting; Tachometer; Day Counter; Cooling Water Temperature Gauge; Outside Temperature Gauge; Board Computer; Audio System; Digital Radio (DAB); Steering Wheel Controls For Audio; Audio Input: yes(aux & usb); Navigation System: yes(with color display); Bluetooth; Interval Wiper (s): yes(with rain sensor); Alloy Wheels; Sliding / Tilting Roof: € 1.335; Metallic Paint: € 1.295; Painted Bumpers; Tinted Glass; Rear Privacy Glass: € 480; Electric Mirrors: yes(and heated); Folding Exterior Mirrors; Automatically Dimming Exterior Mirrors; Direction Indicator In Exterior Mirrors; Front Fog Lights; Automatically Switching On Lighting; Led Headlights; Burglar Alarm; Service: variabel / 2 year; General Warranty: 3 year, unlimited; Body Warranty: 12 year; New Price 2020: € 78.413; 4 Years Depreciation: € 861; Motor Vehicle Tax: € 165; Insurance: € 140; Fuel Costs: € 104; Maintenance: € 65; Total Costs: € 1.335; Total Costs Per Kilometer: 106,8 ct/km; New Price Tax: € 78.616; New Price Roadworthy: € 79.978; Net Price: € 56.081; BPM (fixed): € 0",False,False,False,False,False,
BMW,5 series,2020,2020 BMW 540i XDrive specs,540i XDrive,Sedan,"4-doors, sedan",4,5,gasoline,Inline 6-cylinder naturally aspirated gasoline,2998,6,naturally aspirated,Inline,245,333,450,automatic,8,front+rear,4963,1868,1479,2975,1720,250,4.9,6.6,8.7,5.5,152,76436.00,"Crash Test Result: *****; ABS; Brake Force Distribution; Brake Assist; Stability Control; Traction Control; Driver's Airbag; Passenger Airbag; Side Airbags: yes(front); Head / Curtain Airbags: yes(front & rear); Hill Assist; Tire Pressure Sensor; City ??safety System; Precrash System: € 374; High Beam Assistant: € 171; Collision Warning System; Central Door Locking; Keyless Entry/start: yes(start); Start Button; Electric Windows: yes(front & rear); Power Steering; Cruise Control; Air Conditioning: yes(automatically); Left/right Temperature Control; Parking Sensors: yes(front & rear); Electric Parking Brake; Start / Stop System; Height Adjustment Seat: yes(best. & pass.); Lumbar Support Seat: € 288; Electric Adjustment Seat: yes(with memory); Heated Seats: € 427; Ventilated Seats: € 908; Sports Seats: € 695; Leather Covered Steering Wheel; Adjustable Steering Wheel: yes(height & amp; depth); Heated Steering Wheel: € 321; Leather Upholstery: € 2.295; Rear Headrests; Folding Rear Seats: yes(in parts); Center Armrest: yes(front & rear); Automatically Dimming Interior Mirror; Reading Lamp(s): yes(front & rear); Illuminated Makeup Mirror; Adjustable Dashboard Lighting; Tachometer; Day Counter; Cooling Water Temperature Gauge; Outside Temperature Gauge; Board Computer; Audio System; Digital Radio (DAB); Steering Wheel Controls For Audio; Audio Input: yes(aux & usb); Navigation System: yes(with color display); Bluetooth; Interval Wiper (s): yes(with rain sensor); Alloy Wheels; Sliding / Tilting Roof: € 1.335; Metallic Paint: € 1.295; Painted Bumpers; Tinted Glass; Rear Privacy Glass: € 480; Electric Mirrors: yes(and heated); Folding Exterior Mirrors; Automatically Dimming Exterior Mirrors; Direction Indicator In Exterior Mirrors; Front Fog Lights; Automatically Switching On Lighting; Led Headlights; Burglar Alarm; Service: variabel / 2 year; General Warranty: 3 year, unlimited; Body Warranty: 12 year; New Price 2020: € 76.232; 4 Years Depreciation: € 792; Motor Vehicle Tax: € 81; Insurance: € 136; Fuel Costs: € 178; Maintenance: € 65; Total Costs: € 1.251; Total Costs Per Kilometer: 100,1 ct/km; New Price Tax: € 76.436; New Price Roadworthy: € 77.798; Net Price: € 55.189; BPM (fixed): € 0",False,False,False,False,False,
Ferrari,SF90 Spider,2020,2020 Ferrari SF90 Spider,,Convertible,2 seater convertible/cabriolet,2,2,gasoline,turbocharged petrol,3990,8,turbocharged,V,573,780,800,automatic,8,all-wheel,4704,1973,1191,2649,1670,340,2.5,,,,,,"Crash Test Result: not tested; ABS; Central Door Locking; Keyless Entry/start; Electric Windows: yes(front); Adjustable Steering Wheel; Adjustable Dashboard Lighting; Tachometer; Day Counter; Cooling Water Temperature Gauge; Interval Wiper (s); Alloy Wheels; Painted Bumpers; Tinted Glass; Electric Mirrors; Front Fog Lights; Service: 7.500 km / 1 year; General Warranty: 1 year, unlimited; Body Warranty: 6 year; New Price Tax: € 0; Motor Vehicle Tax: € 0; Insurance: € 21; Fuel Costs: € 345; Maintenance: € 74",False,False,False,True,False,
Ferrari,SF90 XX Stradale,2023,2023 Ferrari SF90 XX Stradale,,Coupe,2 seater fixed-head coupé,2,2,gasoline,turbocharged petrol,3990,8,turbocharged,V,586,797,804,automatic,8,all-wheel,4850,2014,1225,2650,1560,320,2.3,,,,,,"Crash Test Result: not tested; ABS; Central Door Locking; Keyless Entry/start; Electric Windows: yes(front); Adjustable Steering Wheel; Adjustable Dashboard Lighting; Tachometer; Day Counter; Cooling Water Temperature Gauge; Interval Wiper (s); Alloy Wheels; Painted Bumpers; Tinted Glass; Electric Mirrors; Front Fog Lights; Service: 7.500 km / 1 year; General Warranty: 1 year, unlimited; Body Warranty: 6 year; New Price Tax: € 0; Motor Vehicle Tax: € 0; Insurance: € 21; Fuel Costs: € 345; Maintenance: € 74",False,False,False,True,False,
Ford,Explorer,2020,2020 Ford Explorer 3.0 V6 EcoBoost PHEV ST-Line specs,3.0 V6 EcoBoost PHEV ST-Line,SUV,"5-doors, suv/crossover",5,7,gasoline,plugin hybrid,,6,turbocharged,V,336,457,825,automatic,0,front+rear,5049,2004,1778,3025,2466,230,6.0,29.0,10.0,10.0,66,76710.00,"Crash Test Result: *****; ABS; Brake Force Distribution; Brake Assist; Emergency Braking Assistance; Blind Spot Assist; Stability Control; Traction Control; Driver's Airbag; Passenger Airbag; Side Airbags: yes(front); Head / Curtain Airbags: yes(front & rear); Driver's Knee Airbag; Hill Assist; Lane Assist; Blind Spot Assistant; Tire Pressure Sensor; City ??safety System; Precrash System; High Beam Assistant; Traffic Sign Recognition; Collision Warning System; Central Door Locking; Keyless Entry/start: yes(entry & start); Start Button; Control Circuit; Electric Windows: yes(front & rear); Power Steering; Cruise Control: yes(dynamisch); Air Conditioning: yes(automatically); Left/right Temperature Control; Parking Sensors: yes(front & rear); Reverse Camera; Parking Machine; Electric Parking Brake; Start / Stop System; Height Adjustment Seat: yes(best. & pass.); Lumbar Support Seat: yes(best. & pass.); Electric Adjustment Seat: yes(with memory); Heated Seats: yes(front & rear); Ventilated Seats; Leather Covered Steering Wheel; Adjustable Steering Wheel: yes(height & amp; depth); Heated Steering Wheel; Leather Upholstery; Rear Headrests; Folding Rear Seats: yes(in parts); Center Armrest: yes(front); Automatically Dimming Interior Mirror; Reading Lamp(s): yes(front & rear); Illuminated Makeup Mirror; Adjustable Dashboard Lighting; Tachometer; Day Counter; Cooling Water Temperature Gauge; Outside Temperature Gauge; Board Computer; Audio System; Digital Radio (DAB); Steering Wheel Controls For Audio; Audio Input: yes(aux & usb); Navigation System: yes(with color display); Bluetooth; Interval Wiper (s): yes(with rain sensor); Alloy Wheels; Panoramic Roof; Roof Rails; Metallic Paint: € 1.000; Painted Bumpers; Tinted Glass; Rear Privacy Glass; Electric Mirrors: yes(and heated); Folding Exterior Mirrors; Direction Indicator In Exterior Mirrors; Front Fog Lights; Automatically Switching On Lighting; Led Headlights; LED Rear Lighting; Daytime Running Lights; Service: 30.000 km / 1 year; General Warranty: 2 year, unlimited; Body Warranty: 12 year; New Price 2020: € 78.840; 4 Years Depreciation: € 954; Motor Vehicle Tax: € 137; Insurance: € 147; Fuel Costs: € 111; Maintenance: € 83; Total Costs: € 1.433; Total Costs Per Kilometer: 114,7 ct/km; New Price Tax: € 76.710; New Price Roadworthy: € 77.910; Net Price: € 62.996; BPM (fixed): € 0; BPM (CO2): € 498",False,True,False,False,False,
Ford,Puma,2020,2020 Ford Puma 1.0 EcoBoost 125hp ST-Line X Vignale specs,1.0 EcoBoost 125hp ST-Line X Vignale,SUV,"5-doors, suv/crossover",5,5,gasoline,Inline 3-cylinder turbocharged gasoline,998,3,turbocharged,Inline,92,125,170,automatic,7,front+rear,4186,1805,1550,2588,1205,191,10.0,4.5,5.4,4.0,110,34575.00,"Crash Test Result: not tested; ABS; Brake Force Distribution; Brake Assist; Emergency Braking Assistance; Stability Control; Traction Control; Driver's Airbag; Passenger Airbag; Side Airbags: yes(front); Head / Curtain Airbags: yes(front & rear); Hill Assist; Lane Assist; Fatigue Sensor; Tire Pressure Sensor; City ??safety System; Precrash System; High Beam Assistant; Traffic Sign Recognition; Collision Warning System; Central Door Locking; Keyless Entry/start: yes(entry & start); Start Button; Electric Windows: yes(front & rear); Power Steering; Cruise Control; Air Conditioning: yes(automatically); Parking Sensors: yes(front & rear); Start / Stop System; Height Adjustment Seat: yes(best. & pass.); Lumbar Support Seat: yes(best. & pass.); Heated Seats; Sports Seats; Leather Covered Steering Wheel; Adjustable Steering Wheel: yes(height & amp; depth); Heated Steering Wheel; Leather Upholstery; Rear Headrests; Folding Rear Seats: yes(in parts); Center Armrest: yes(front); Automatically Dimming Interior Mirror; Reading Lamp(s): yes(front & rear); Illuminated Makeup Mirror; Adjustable Dashboard Lighting; Tachometer; Day Counter; Cooling Water Temperature Gauge; Outside Temperature Gauge; Board Computer; Audio System; Digital Radio (DAB); Audio Input: yes(usb); Navigation System: yes(with color display); Bluetooth; Interval Wiper (s): yes(with rain sensor); Alloy Wheels; Panoramic Roof: € 1.000; Metallic Paint: € 600; Painted Bumpers; Tinted Glass; Rear Privacy Glass; Electric Mirrors: yes(and heated); Folding Exterior Mirrors; Direction Indicator In Exterior Mirrors; Front Fog Lights; Automatically Switching On Lighting; Led Headlights; LED Rear Lighting; Daytime Running Lights; Service: 30.000 km / 1 year; General Warranty: 2 year, unlimited; Body Warranty: 12 year; New Price 2020: € 34.575; 4 Years Depreciation: € 339; Motor Vehicle Tax: € 45; Insurance: € 68; Fuel Costs: € 115; Maintenance: € 57; Total Costs: € 624; Total Costs Per Kilometer: 49,9 ct/km; New Price Tax: € 34.575; New Price Roadworthy: € 35.525; Net Price: € 25.780; BPM (fixed): € 0",False,False,False,False,False,
